1;1;0.0178571428571;0.5;48067;4377;2378;1769;636;5523;480;2514;2986;3939;2626;1819;1892;2202;5854;881;948;3869;3872;4901;5165;950;3231;5290;5573;5875;827;821;4278;2223;3363;5998;5224;2394;4108;771;1537;3845;6028;4300;45;3754;5749;3003;1135;3086;1686;4620;1283;4426;2372;
2;0;1.0;0.8;70072;4700;5553;2998;5316;703;5216;240;5791;3185;1247;2761;5341;1408;251;3050;4789;2599;4067;3964;2652;227;1297;499;5058;2428;1528;699;942;3165;2537;4279;616;5641;4690;4833;5452;5181;4817;1070;3677;1561;2574;5024;2205;2595;5059;350;545;4412;2857;
3;0;0.446428571429;0.75;55117;3741;681;2603;494;3821;1328;4544;871;5166;4791;809;3587;4386;489;700;1047;4860;2425;5379;3964;4825;633;3043;5843;396;1097;5044;4158;262;1202;5402;444;124;1865;2525;157;3226;2972;1955;1332;3640;4811;3019;1081;1268;998;1829;1069;2258;2672;
4;0;0.803571428571;0.35;2460;4608;3640;3623;5424;2384;3442;1757;4261;2917;5197;1126;1782;3415;3932;763;2436;5047;2075;591;5578;4427;2104;5064;674;2040;2070;2922;2143;1735;3815;4942;4960;2894;2600;2222;622;5510;3848;1857;4968;1888;1583;2983;5306;1479;4839;1476;1046;5292;2643;
5;0;0.446428571429;1.0;55455;1176;4534;5972;1944;566;341;4734;3493;4835;4640;1975;5532;5116;948;4406;3909;1685;228;5269;2405;2560;3090;1068;779;832;257;4819;3799;1479;5992;808;4080;3378;1234;3736;2765;2864;4268;2486;5775;4204;3981;1256;5381;31;5760;3028;3478;4704;3985;
6;1;0.892857142857;0.45;55117;4171;2149;238;5078;2184;2165;1373;2696;880;2591;4494;4663;4191;2256;5819;3203;5462;1266;1070;2970;3144;2808;5624;509;4373;4585;1604;4895;3534;1904;3206;5697;5695;1302;5053;313;5760;4355;2132;2792;1702;4888;5637;1101;2106;3104;1270;365;3513;2616;
7;0;0.625;0.05;6810;59;3127;5010;515;2823;3240;785;2666;4887;534;2999;4050;1625;703;40;1712;453;4695;379;3791;4488;2081;5394;2569;1383;3690;2155;3048;882;462;5616;4089;3955;4932;5387;4510;62;282;3116;2225;3157;2767;1525;637;3743;4841;5859;1855;5276;928;
8;0;0.446428571429;0.6;11413;1254;2059;408;4711;3300;4709;2963;184;2472;314;2223;4037;5158;1142;1506;4623;2609;310;805;5526;6025;3379;4272;2577;4372;5642;1331;2569;4904;1333;2952;5935;1027;5891;4203;760;5541;3788;1525;619;3823;1079;1164;636;4426;780;4440;3680;3892;3090;
9;0;0.446428571429;0.85;61614;1712;5557;3200;5878;2445;1959;1949;4039;3879;203;3339;3939;614;523;1610;361;4841;3911;133;2216;2469;3007;4994;897;4874;39;2546;2572;824;1904;3481;48;4010;1751;528;5509;3713;2659;1806;5239;4463;4669;4172;2772;3223;5875;1796;3758;2288;5907;
10;1;0.625;0.05;95370;5885;2871;5714;2783;463;1092;53;2990;3388;2402;5281;5240;4185;3886;456;1645;3892;304;2957;1764;5562;1576;4997;4136;3869;749;3947;84;2637;2098;2974;929;3423;4906;5715;5637;2100;51;1849;2802;313;4798;5873;3761;5635;6021;3848;2114;2332;5315;
11;1;0.446428571429;0.05;4093;631;5848;2366;19;1111;4872;2802;3063;2195;396;4125;3226;2547;2689;3415;1717;5726;695;4196;344;5189;404;5217;4729;3660;5239;4870;3980;4753;2232;5316;2074;4483;5769;2157;5488;1953;1413;3150;1141;913;2893;1895;1001;1995;1247;1505;897;5128;3243;
12;0;0.446428571429;0.6;32793;957;2274;5378;3756;5170;749;3071;2568;4675;2101;1211;1619;2237;5963;5585;2410;5698;3104;63;4490;1703;2977;4640;2498;600;3505;1799;1121;94;5236;3314;2484;2061;4559;5091;2778;3845;1064;5799;1456;5605;5148;3259;199;5426;2674;1410;1189;1774;1926;
13;0;0.803571428571;0.05;93304;2383;327;2063;2910;4524;911;1174;2193;71;1924;3569;1635;4659;3467;2454;3683;4245;3005;5501;3858;2159;1439;1077;4303;509;1194;2239;1485;2607;1570;5828;4431;4425;2677;1334;5577;4475;1324;5948;2801;2992;5839;2826;5439;3518;4819;5529;1499;2696;85;
14;0;0.625;0.0;60126;2046;5979;4474;3305;3689;1041;1694;4192;937;5334;2512;1863;3716;3906;107;5748;3016;1639;5365;4476;3587;796;899;3887;3217;3863;1065;839;679;1492;3550;4181;390;3656;5272;3452;4767;3847;608;2024;1341;666;4029;5109;3128;3237;4779;77;4723;658;
